Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C7",0805,4,100n,
C3,CP_Radial_D5.0mm_P2.00mm,1,1u,
C4,CP_Radial_D5.0mm_P2.00mm,1,2.2u,
"D1, D2",1206,2,LED,
F1,1812,1,1812L200/12DR,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
J2,Molex_SPOX_5267-10A_1x10_P2.50mm_Vertical,1,Conn_01x10_Pin,
Q1,TO-263-2,1,IRFS4115,
R1,0805,1,1k2,
R10,0805,1,2k2,
"R11, R12",0805,2,20m,
R13,0805,1,27K,
R14,0805,1,3k9,
"R15, R16, R17, R18, R20",0805,5,10k,
R19,0805,1,47,
R2,0805,1,2k7,
R21,R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical,1,0.5,
R22,0805,1,120,
R3,0805,1,390,
"R4, R5, R9",0805,3,1k,
R6,0805,1,820,
R7,0805,1,39k,
R8,0805,1,82,
SW1,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,BSE02GR,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Loop_D2.50mm_Drill1.0mm,10,TestPoint,
U1,SO-8_3.9x4.9mm_P1.27mm,1,TL082,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,AD5282,
U3,SO-14_3.9x8.65mm_P1.27mm,1,TL084,
"U4, U5",TO-263-5_TabPin6,2,LT3080xQ,
U6,SOT-23,1,MCP9700Ax-ETT,
